pozo,etapa,n_puntos,score_max,score_mean,score_std,n_anomalias,severity_score
BPO-2703,E1,41301,0.0650791418262868,-0.2035738558532786,0.026917980397211466,6195,-0.05226391175341732
BPO-2703,E10,33051,0.0768553627496778,-0.22583917758769986,0.02528219249948024,4958,-0.05986086203000375
BPO-2703,E12,31524,0.0968672277582821,-0.22872694787998277,0.037270823933345125,4729,-0.05530076786349013
BPO-2703,E13,30823,0.1289591904892231,-0.15760242334704014,0.07015975510031218,4624,-0.010109885763167504
BPO-2703,E14,30019,0.0632971289613966,-0.20781385579108988,0.04348594719976611,4503,-0.05491678984005844
BPO-2703,E15,29129,0.0941344046552767,-0.2117141702546215,0.046756559337087625,4370,-0.047612300824345775
BPO-2703,E16,27342,0.1630643268774126,-0.06905642440696891,0.10509109976049773,4101,0.04438889143358177
BPO-2703,E17,27463,0.0753040653450025,-0.1775043093953227,0.0595600719332506,4120,-0.03615692970509167
BPO-2703,E18,27033,0.1028549531868359,-0.20684219705389073,0.03598074658471715,4055,-0.04256424265264653
BPO-2703,E19,26335,0.0517767610763345,-0.2247108914730222,0.02128865867131064,3951,-0.06681672157157544
BPO-2703,E2,37925,0.0766070226016659,-0.224798579159517,0.04095592109012356,5689,-0.059415864407696445
BPO-2703,E20,25486,0.0417302040280743,-0.22333450665903887,0.02376173753029908,3823,-0.0691474073765315
BPO-2703,E22,24027,0.0950132573851509,-0.205333237699986,0.03531535828072507,3604,-0.04416305783289114
BPO-2703,E23,25929,0.0828859840902934,-0.20895555956708906,0.050424771983959685,3890,-0.049606970865222755
BPO-2703,E24,22207,0.0878418973601503,-0.18995613150323884,0.06243295259991456,3331,-0.03862594685203563
BPO-2703,E25,24366,0.0556682573911966,-0.22852501934448582,0.02222965542796705,3655,-0.06756121163899294
BPO-2703,E26,22702,0.0601973866247027,-0.22425841917574804,0.035459327158222,3406,-0.06406382674291762
BPO-2703,E27,22902,0.0436496988355513,-0.24177305457717443,0.024576375861082623,3436,-0.07778550463469067
BPO-2703,E28,21195,0.0959485869367414,-0.2148131437420783,0.054389605362626076,3180,-0.04861491864918163
BPO-2703,E29,21434,0.0468126862849698,-0.22765275031528148,0.021171989232393766,3215,-0.06978350236909858
BPO-2703,E3,31380,0.0938896982882526,-0.21458208484390645,0.03872655384108526,4706,-0.049130506421774446
BPO-2703,E30,18119,0.056741593501307,-0.20446442613113502,0.023549372721674514,2718,-0.05520807929466104
BPO-2703,E32,16506,0.0463246165717365,-0.23360921337244028,0.0230537545504075,2476,-0.0729060100340982
BPO-2703,E33,15745,0.0994413977391714,-0.20643366763038548,0.0390759788239702,2362,-0.043381238882136144
BPO-2703,E34,17640,0.092293050005311,-0.21586326718761312,0.04461211693481034,2646,-0.05024371859221326
BPO-2703,E36,13469,0.0862408433619961,-0.18615973162760338,0.04511814034380657,2021,-0.0371979610121967
BPO-2703,E39,13815,0.0807439685826706,-0.21848719048662718,0.02640234521993183,2073,-0.05500954690521165
BPO-2703,E4,37654,0.0383325481257285,-0.22800734050341148,0.017987527455357356,5648,-0.07250443696605603
BPO-2703,E5,36537,0.0821445282581686,-0.20926599156765832,0.03865254764506661,5481,-0.04998717404995358
BPO-2703,E6,36082,0.0746507140148425,-0.23466876154613472,0.03841259756559041,5413,-0.06493528651761966
BPO-2703,E7,35382,0.1093048304347755,-0.19466490920595733,0.041413411297543674,5308,-0.0345370486583467
BPO-2703,E9,33722,0.0753511356864991,-0.20995794780826582,0.0432843584133961,5059,-0.052369481605750945
